date,open,high,low,raw_close,adjusted_close,volume,source_id,source_url,is_peak_raw_close,is_peak_intraday_high
2025-10-15,303.63,309.10,303.63,305.25,299.710876,2522100,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-16,305.79,307.28,304.71,305.33,299.789429,2021600,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-17,306.80,308.33,306.31,308.09,302.499329,2194200,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-20,307.95,308.70,305.84,307.77,302.185150,2329600,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-21,308.55,308.55,306.39,307.48,301.900452,2461100,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-22,308.22,312.79,307.15,310.11,304.482666,2735700,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-23,311.97,311.97,306.22,306.97,301.399689,2081500,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-24,307.63,307.70,305.02,305.79,300.241119,1994500,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-27,305.90,310.09,305.34,310.00,304.374695,2139700,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-28,308.54,310.58,306.33,306.40,300.839996,2336500,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
